Plot,Block,Replicate,Treatment,LMH_met_biomass,total_pin_hits,plant_species_richness,plant_species_diversity,plant_species_evenness,mean_hit_height,sd_hit_height,prop_spine,density_spine,length_spine,width_spine,bare_ground,Acari_biomass,Aranae_biomass,Blattodea_biomass,Coleoptera_biomass,Diptera_biomass,Gatropoda_biomass,Hemiptera_biomass,Hymenoptera_biomass,Isopoda_biomass,Lepidoptera_biomass,Mantodea_biomass,Neuroptera_biomass,Orthoptera_biomass,Phasmatodea_biomass,Psocoptera_biomass,Solifugae_biomass,Total_invertebrate_biomass,Invertebrate_Shannon_diversity,Invertebrate_Faiths_PD,Invertebrate_species_richness
N1C,N,1,C,8751.825523,227,13,1.8717,0.7297,99.31,87.2,0.5683,14.2231405,6.854405121,1.533782664,60,0.0093,0.1877,0,0.1552,0.6248,0,0.5794,0.3538,0,0.5288,0.0605,0,3.1346,0.1701,0,0.0778,5.882,3.33377,5.204363,102
N1M,N,1,M,1210.124748,304,26,2.4556,0.7537,125.01,129.86,0.5493,18.19594595,6.975791506,1.536521879,35,0.0104,0.1621,0,0.5555,0.085,0,0.9294,1.0258,0,0.8221,0.1874,0.0032,3.1163,0.3257,0,0,7.2229,3.787541,5.273495,104
N1T,N,1,T,5.8898501,888,20,2.1581,0.7204,142.15,164.85,0.3367,12.50167224,6.012309922,1.581769072,5,0.0138,0.1349,0.0129,0.6489,0.6462,0.0205,1.0775,0.5822,0,1.3198,0,0,3.4857,0.7597,0,0,8.7021,3.499464,4.537345,89
N2C,N,2,C,6667.686429,236,15,2.0657,0.7628,51.18,95.12,0.2076,13.19047619,5.541562625,1.678622449,27,0.0134,0.099,0,0.9925,0.4539,0,0.8102,1.0337,0,1.4595,0,0,0.7891,0.401,0,0,6.0523,3.651837,6.179953,132
N2M,N,2,M,1242.229017,920,31,2.4651,0.7179,166.37,179.87,0.4978,12.29137529,3.414282724,1.357798674,18,0.0266,0.3812,0.0148,0.484,0.4747,0,0.5384,1.0525,0,1.2488,0,0.0591,1.472,0.1498,0,0,5.9019,3.866991,6.731982,118
N2T,N,2,T,91.71375942,1700,46,2.7855,0.7275,62.72,76.41,0.2241,15.94326241,3.956317252,1.494513762,6,0,0.038,0,0.302,0.1971,0,0.4333,0.4362,0,0.8287,0,0,1.2739,1.0866,0.0001,0.0026,4.5985,3.592681,5.667374,102
N3C,N,3,C,7849.83072,166,16,2.01,0.725,33.16,42.56,0.241,14,3.571428571,1.322857143,54,0.0155,0.0902,0,0.0249,0.0884,0,0.6546,0.1479,0,0.5231,0,0.019,3.56973,0.9052,0,0,6.03853,3.211156,3.913053,68
N3M,N,3,M,1166.015245,272,20,2.0147,0.6725,185.45,129.42,0.75,13.58227848,4.161116761,1.403703134,36,0.0093,0.2208,0,0.5319,0.0911,0,0.7251,0.1416,0,0.3958,0,0.0264,0.6681,0.219,0,0,3.0291,3.537707,4.038935,81
N3T,N,3,T,39.24947741,1557,47,2.8001,0.7273,59.84,62.93,0.2107,10.46520147,5.919864818,1.633103087,13,0.0051,0.1318,0,0.1657,0.1528,0,0.1538,0.2093,0,0.226,0.0175,0.0145,0.5636,1.1174,0,0,2.7575,3.443054,5.818158,112
S1C,S,1,C,10079.03197,1151,31,2.4958,0.7268,63.15,90.87,0.1807,13.53846154,19.18751442,2.191951923,6,0.0113,0.0337,0,0.7848,0.3161,0.0156,0.4921,0.8511,0,0.3388,0.0625,0.113,1.1285,0.5653,0,0,4.7128,3.318416,4.105792,65
S1M,S,1,M,1974.172286,996,29,2.4551,0.7291,125.97,126.71,0.4096,13.24324324,15.32300199,2.015418977,16,0.0033,0.1017,0,0.8117,0.3694,0,0.8843,1.242,0,1.5954,0.0255,0.1646,1.7471,0.1313,0,0,7.0763,2.374207,3.376196,61
S1T,S,1,T,2.896594182,2133,42,2.2273,0.5959,85.71,110.4,0.2382,12.80237154,14.87068521,1.907566535,3,0.0011,0.5058,0,0.4233,0.4351,0,0.5744,0.3852,0,0.7307,0.1623,0.0043,1.585,0.3043,0,0,5.1115,3.110636,5.267024,99
S2C,S,2,C,9578.991664,737,31,2.5562,0.7444,87.11,107.1,0.3094,13.70103093,19.40988267,2.186729013,10,0.0411,0.118,0,0.3453,2.6139,0,0.717,1.0123,0.0059,1.1682,0.2968,0.0274,1.911,0.4977,0,0,8.7546,2.343561,6.388813,105
S2M,S,2,M,1360.014316,964,30,2.2806,0.6705,128.29,124.85,0.5031,13.42725173,18.9878192,2.133122732,19,0.212,0.3027,0,2.0621,0.3095,0,2.2359,0.9865,0.0006,3.1649,0.0176,0.2827,3.5067,0.178,0,0,13.2592,2.960889,5.721966,91
S2T,S,2,T,314.1047002,1457,47,2.3162,0.6016,69.45,84.1,0.1922,11.94117647,13.13165808,1.730838095,5,0.0035,0.1487,0,0.7104,0.5255,0.0951,0.7982,1.0041,0,1.0551,0.0335,0.0149,0.682,0.527,0,0,5.598,2.557341,5.630925,89
S3C,S,3,C,7204.875093,1730,51,2.8192,0.717,38.84,58.74,0.0965,13.8742515,16.87896236,2.045871685,6,0.0113,0.21,0,0.4446,0.5739,0.0041,0.6062,0.8741,0.1244,0.4573,0.062,0.0277,0.6261,0.0865,0,0,4.1082,3.360654,5.008463,77
S3M,S,3,M,2074.974226,1281,49,3.2065,0.8239,84.62,109.27,0.2592,10.65853659,17.23413139,2.309405706,4,0,0.1264,0,0.6996,0.2661,0.0227,0.5179,0.9228,0.0013,0.5177,0.0678,0.0172,1.061,0.0568,0,0,4.2773,3.133479,4.49463,79
S3T,S,3,T,171.3648531,2287,63,3.1517,0.7607,80.61,101.74,0.2243,11.73189824,6.682802535,1.7473379,2,0.0094,0.753,0,0.7343,0.8281,0,0.8187,0.3946,0.003,1.3931,0.1172,0.1172,1.6343,0.3996,0,0,7.2025,2.900706,4.09733,67
